0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,Cálcio,,,Fósforo,Ferro,Sódio,de,,,
,Código e descrição do alimento,,Código e descrição da preparação,,nésio,ganês,,,,,,sio,bre
,,,,(mg),,,(mg),(mg),(mg),adição,,,
,,,,,(mg),(mg),,,,,,(mg),(mg)
,,,,,,,,,,(mg),,,
8102101,Salsicha no varejo,1,Cru(a),"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,2,Cozido(a),"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,3,Grelhado(a)/brasa/churrasco,"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,4,Assado(a),"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,5,Frito(a),"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,7,Refogado(a),"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,8,Molho vermelho,"36,07","8,94","0,02","82,63","0,72","960,69",,-,"117,10","0,04"
8102101,Salsicha no varejo,9,Molho branco,"10,60","12,80","0,05","90,80","1,11","748,80",,-,"217,40","0,06"
8102101,Salsicha no varejo,10,Ao alho e óleo,"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,11,Com manteiga/óleo,"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,13,Ensopado,"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102101,Salsicha no varejo,99,Não se aplica,"16,49","8,28","0,01","78,68","0,81","1174,71",,-,"108,81","0,05"
8102204,"Linguiça (suína, bovina, mista, etc.)",1,Cru(a),"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",2,Cozido(a),"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",3,Grelhado(a)/brasa/churrasco,"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",4,Assado(a),"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",5,Frito(a),"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",6,Empanado(a)/à milanesa,"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",7,Refogado(a),"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",8,Molho vermelho,"10,60","12,80","0,05","90,80","1,11","748,80",,-,"217,40","0,06"
8102204,"Linguiça (suína, bovina, mista, etc.)",11,Com manteiga/óleo,"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",13,Ensopado,"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102204,"Linguiça (suína, bovina, mista, etc.)",99,Não se aplica,"10,00","12,00","0,04","107,00","1,13","805,00",,-,"189,00","0,04"
8102207,Linguiça de frango,1,Cru(a),"14,00","21,00","0,10","228,00","0,70","1351,00",,-,"356,00","0,09"
8102207,Linguiça de frango,2,Cozido(a),"14,00","21,00","0,10","228,00","0,70","1351,00",,-,"356,00","0,09"
8102207,Linguiça de frango,3,Grelhado(a)/brasa/churrasco,"14,00","21,00","0,10","228,00","0,70","1351,00",,-,"356,00","0,09"
8102207,Linguiça de frango,4,Assado(a),"14,00","21,00","0,10","228,00","0,70","1351,00",,-,"356,00","0,09"
8102207,Linguiça de frango,5,Frito(a),"15,00","29,00","0,10","262,00","0,80","1374,00",,-,"364,00","0,04"
8102401,Chouriço,99,Não se aplica,"6,00","8,00","0,01","22,00","6,40","680,00",,-,"38,00","0,04"
8102402,Morcela,99,Não se aplica,"6,00","8,00","0,01","22,00","6,40","680,00",,-,"38,00","0,04"
8102403,Morcilha,1,Cru(a),"6,00","8,00","0,01","22,00","6,40","680,00",,-,"38,00","0,04"
8102403,Morcilha,2,Cozido(a),"6,00","8,00","0,01","22,00","6,40","680,00",,-,"38,00","0,04"
8102501,Paio,2,Cozido(a),"13,00","17,00","0,01","163,00","1,36","749,00",,-,"294,00","0,09"
